,"Wayne-Sanderson Farms at Union Springs, AL",,,,,,,,,,,,,,,3/12/2025,,,,,,,,,,,,,,,,,,,,,
,C121241 - Parts Chiller Project,,,,,,,,,,,,,,rev.,12/2/2025,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WSF Conveyor Specifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,General Specifications,,,,,,,,,,,,Avg. Live Weight:,10,lbs,,,,,,,,,,,,,,,,,,,,,
,1,Intralox modular belting with acetal rods,,,,,,,,,,,,Wog Wt:,7.2,lbs,,,,,,,,,,,,,,,,,,,,,
,2,"Sterling Extreme 1800 RPM, SS INVERTER DUTY motor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Sterling SS helical bevel gearbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,SS KML bearings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,Standard threaded take-up assembly (unless otherwise noted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,"2"" x 2"" x 1/4"" SS angle legs with round SS foot pad & all-thread adjustment (-2/+6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,"Belt washer with full-length drip pan (2"" sanitary ferrule drain)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"1/4"" SS flat bar sides (unless otherwise noted)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,Laser Etched safety labels - NO STICKERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belt Data for Conveyors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abbrev.,,,,Belt Types,,,,,,,,,,Angle of Incline / Decline?,,,,,,,,,,Inverter Duty Motor?,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S400 BB,,Intralox S400 ball belt [Acetal - Grey],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S400 RT,,Intralox S400 roller top belt [Acetal - Grey],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S800 OHFT,,Intralox S800 open hinge flat top belt [Acetal - White],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S800 PFFT,,"Intralox S800 11/32"" perforated flated top [Acetal - White]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S800 NT,,Intralox S800 nub top belt [Acetal - White],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S1400 SFRT,,Intralox S1400 square friction top - ULTRA [PP-Grey],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S1600 OHFT,,Intralox S1600 open hinge flat top belt [Acetal - White],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S3000 MT,,Intralox S3000 mesh top belt [Acetal - Grey],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(in.),(in.),(in.),,(ft.),(ft.),,,,,(in.),(in.),(fpm),,Drive,Idle,,,,,,,,,,
,,,,,,,Product,Production,Parts/Ft,lbs/ft,Frame,Belt,Belt Ht.,Side,,Conveyor,Belt,Belt,Belt,Belt,Flight,Flight,Flight,Belt,,Sprocket,Sprocket,Sprocket,Gear Box,Gear Box,Motor,,Torque-HP,,,,
,Item No.,Qty,,,Description,,Type,Rate,of Belt,Belt,Type,Width,TOB,Height,,Length,Length,Type,Material,Color,Height,Spacing,Indent,Speed,,PD,PD,Type,Ratio,Mfg.,Mfg.,Comments,Required,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-01,1,ea.,,Whole Bird Recirculation Conveyor       belt 1:,,wogs,152,,,"1/4"" SS","24""","120""","8""",0,"32'-0""",69 ft,S800 OHFT,Acetal,White,N/A,N/A,N/A,76.7,Y,"6.5""","6.5""",Molded,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.5"" SB",[38.872],K343,2 HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,    belt 2:,,wogs,,,,"1/4"" SS","24""","120""","8""",0,"33'-0""",71 ft,S800 OHFT,Acetal,White,N/A,N/A,N/A,76.7,Y,"6.5""","6.5""",Molded,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.5"" SB",[38.872],K343,2 HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-02,1,ea.,,Drum Incline Conveyor,,drums,,,,"1/4"" SS",12“,"42"" / 132""","6""",65,"10'-0"" (h)",34 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",61.3,Y,"5.2""","5.2""",EZ Clean,40:1,Sterling ,Sterling,,,,,,
